Дата,"Середня витрата, м³/с"
2003-01-01,0.490
2003-01-02,0.420
2003-01-03,0.470
2003-01-04,0.470
2003-01-05,0.510
2003-01-06,0.540
2003-01-07,0.610
2003-01-08,0.600
2003-01-09,0.495
2003-01-10,0.400
2003-01-11,0.400
2003-01-12,0.390
2003-01-13,0.390
2003-01-14,0.380
2003-01-15,0.380
2003-01-16,0.380
2003-01-17,0.345
2003-01-18,0.310
2003-01-19,0.310
2003-01-20,0.310
2003-01-21,0.310
2003-01-22,0.310
2003-01-23,0.310
2003-01-24,0.345
2003-01-25,0.380
2003-01-26,0.380
2003-01-27,0.380
2003-01-28,0.370
2003-01-29,0.370
2003-01-30,0.370
2003-01-31,0.370
2003-02-01,0.360
2003-02-02,0.350
2003-02-03,0.315
2003-02-04,0.280
2003-02-05,0.280
2003-02-06,0.270
2003-02-07,0.270
2003-02-08,0.250
2003-02-09,0.230
2003-02-10,0.230
2003-02-11,0.230
2003-02-12,0.230
2003-02-13,0.230
2003-02-14,0.230
2003-02-15,0.230
2003-02-16,0.230
2003-02-17,0.220
2003-02-18,0.220
2003-02-19,0.220
2003-02-20,0.220
2003-02-21,0.220
2003-02-22,0.210
2003-02-23,0.200
2003-02-24,0.200
2003-02-25,0.200
2003-02-26,0.200
2003-02-27,0.200
2003-02-28,0.200
2003-03-01,0.210
2003-03-02,0.210
2003-03-03,0.210
2003-03-04,0.200
2003-03-05,0.230
2003-03-06,0.230
2003-03-07,0.230
2003-03-08,0.230
2003-03-09,0.230
2003-03-10,0.230
2003-03-11,0.230
2003-03-12,0.230
2003-03-13,0.260
2003-03-14,0.230
2003-03-15,0.230
2003-03-16,0.230
2003-03-17,0.555
2003-03-18,0.950
2003-03-19,1.200
2003-03-20,1.580
2003-03-21,1.495
2003-03-22,1.410
2003-03-23,1.410
2003-03-24,1.410
2003-03-25,1.410
2003-03-26,1.410
2003-03-27,1.950
2003-03-28,3.600
2003-03-29,4.270
2003-03-30,4.690
2003-03-31,8.220
2003-04-01,7.640
2003-04-02,3.500
2003-04-03,4.650
2003-04-04,5.800
2003-04-05,5.010
2003-04-06,3.860
2003-04-07,3.680
2003-04-08,2.820
2003-04-09,2.820
2003-04-10,2.820
2003-04-11,3.160
2003-04-12,3.500
2003-04-13,5.800
2003-04-14,6.210
2003-04-15,6.620
2003-04-16,6.620
2003-04-17,5.420
2003-04-18,4.220
2003-04-19,4.410
2003-04-20,4.600
